NAME,NODE_KIND,details,stingray_bc,stingray_tc,target_core,stim_name,core_a_stim_name,core_a_ns_stim_name,periph_instances,core_mem,data_mem,priority,debug_interface,target_dma,sysclk_src,divcore,divbus,divslow,periph_clk_src,periph_clk_div,periph_clk_cfg,owner,group,stingray_vectors,uvm_test_name,uvm_main_seq,pdm_tickets,postlayout_pdm_tickets,periph_domain
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_eMMC44_8bit_DDR-OEM_FR,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_eMMC44_8bit_DDR-OEM_LOCKED,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_eMMC44_8bit_DDR-OEM_OPEN,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_eMMC_8bit_DDR_ACK-BT_Part1-SND,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_eMMC_8bit_DDR_ACK-BT_Part2-SND,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_eMMC_FB_8bit_DDR_ACK-BT_Part1-SND,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_eMMC_FB_8bit_DDR_ACK-BT_Part2-SND,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_eMMC_FB_8bit_SDR_NOACK-Usr_Part-SND,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC1_SD,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC1_SDXC_4bit_SDR104,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC1_SDXC_4bit_SDR104_RST_2.5ms,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
